chunk_id,doc_id,chunk_text,effective_date,exported_at
policy_refund_v4_1_0655e373028a71f6,policy_refund_v4,Yêu cầu hoàn tiền được chấp nhận trong vòng 7 ngày làm việc kể từ xác nhận đơn. [cleaned: stale_refund_window],2025-03-14,2026-04-06T00:00:00
it_helpdesk_faq_2_b49d2cb54042efb2,it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2025-08-30,2026-04-07T00:00:00
sla_p1_2026_3_ab622211ba880896,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-07-15,2026-04-04T00:00:00
policy_refund_v4_4_804bf57cfc9b4d4c,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2026-03-30,2026-04-02T00:00:00
policy_refund_v4_5_e635e3a983bea076,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc làm việc làm việc kể từ thời điểm xác nhận đơn hàng.,2025-12-14,2026-04-03T00:00:00
policy_refund_v4_6_abaf56c5c607ef86,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-02-19,2026-04-07T00:00:00
hr_leave_policy_7_5b403fd4b8ed7564,hr_leave_policy,Nội dung không rõ ràng: Nhân viên dưới 3 năm kinh nghiệm được 12 ngày phép năm theo chính sách 2026.,2026-01-11,2026-04-07T00:00:00
it_helpdesk_faq_8_718ed81c469801ed,it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Chú ý: effective_date không đồng nhất giữa các nguồn.,2025-02-24,2026-04-05T00:00:00
policy_refund_v4_9_647ebff54a6917da,policy_refund_v4,Nội dung không rõ ràng: Yêu cầu hoàn tiền được chấp nhận trong vòng 7 ngày làm việc kể từ xác nhận đơn. [cleaned: stale_refund_window],2025-07-10,2026/04/07T00:00:00
sla_p1_2026_10_c9e0c512858282e6,sla_p1_2026,Nội dung không rõ ràng: !!!Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-11-17,2026-04-06T00:00:00
it_helpdesk_faq_11_ed5089371a7bbc5e,it_helpdesk_faq,FAQ bổ sung: đổi mật khẩu qua portal self-service có thể mất tối đa 24 giờ để đồng bộ toàn hệ thống.,2025-05-29,2026-04-08T00:00:00
policy_refund_v4_12_7e18a8dd9e399532,policy_refund_v4,!!!Yêu cầu hoàn tiền được chấp nhận trong vòng 7 ngày làm việc kể từ xác nhận đơn. [cleaned: stale_refund_window],2025-04-01,2026-04-07T00:00:00
policy_refund_v4_13_84dc53a96e485caa,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc làm việc kể từ thời điểm xác nhận đơn hàng.,2025-11-24,2026-04-06T00:00:00
sla_p1_2026_14_d021187cbaa9e845,sla_p1_2026,Nội dung không rõ ràng: Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-01-18,2026-04-01T00:00:00
it_helpdesk_faq_15_d84975a6ad94c104,it_helpdesk_faq,Nội dung không rõ ràng: Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2026-01-04,2026/04/02T00:00:00
it_helpdesk_faq_16_32eb3fac63176132,it_helpdesk_faq,Nội dung không rõ ràng: FAQ bổ sung: đổi mật khẩu qua portal self-service có thể mất tối đa 24 giờ để đồng bộ toàn hệ thống.,2026-01-15,2026-04-08T00:00:00
policy_refund_v4_17_24c5dc725a0562fd,policy_refund_v4,Nội dung không rõ ràng:,2025-10-31,2026-04-11T00:00:00
policy_refund_v4_18_c05575d61d1ffa08,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Nội dung có thể bị trùng do sync lại dữ liệu.,2025-10-26,2026-04-02T00:00:00
access_control_sop_19_81000621a7f1313f,access_control_sop,Level 4 Admin Access yêu cầu phê duyệt bởi IT Manager và CISO. Thời gian xử lý: 5 ngày làm việc. Yêu cầu thêm: training bắt buộc về security policy.,2026-01-01,2026-04-08T00:00:00
access_control_sop_20_425e6a57925a5dc7,access_control_sop,Quyền Standard Access (Level 2) được xử lý trong 2 ngày làm việc sau khi Line Manager và IT Admin phê duyệt.,2026-01-01,2026-04-08T00:00:00
access_control_sop_21_576e5b9172dd0a3e,access_control_sop,Level 1 Read Only: phê duyệt bởi Line Manager. Thời gian xử lý: 1 ngày làm việc. Áp dụng cho nhân viên mới 30 ngày đầu.,2026-01-01,2026-04-09T00:00:00
access_control_sop_22_b380326f8ee42cb1,access_control_sop,Level 3 Elevated Access: phê duyệt bởi Line Manager + IT Admin + IT Security. Thời gian xử lý: 3 ngày làm việc.,2026-01-01,2026-04-09T00:00:00
access_control_sop_23_9bda616c6730fb91,access_control_sop,Escalation khẩn cấp: On-call IT Admin cấp quyền tạm thời max 24 giờ sau khi được Tech Lead phê duyệt.,2026-01-01,2026-04-10T00:00:00
