id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý/khắc phục ticket P1 là 4 giờ. Phản hồi ban đầu là 15 phút kể từ khi ticket được tạo. [1],Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Heuristic grounded token ratio: 1.00,5,Heuristic query-answer token overlap: 0.50,5,Retrieved: 1/1 expected sources,4,Heuristic expected-answer keyword overlap: 0.73,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày kể từ thời điểm xác nhận đơn hàng [2]. Một đoạn khác nêu rõ là 7 ngày làm việc [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Heuristic grounded token ratio: 0.92,5,Heuristic query-answer token overlap: 0.82,5,Retrieved: 1/1 expected sources,5,Heuristic expected-answer keyword overlap: 1.00,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Level 3 cần phê duyệt bởi Line Manager, IT Admin và IT Security. [1]","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Heuristic grounded token ratio: 1.00,5,Heuristic query-answer token overlap: 0.50,5,Retrieved: 1/1 expected sources,5,Heuristic expected-answer keyword overlap: 0.80,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,Không. Sản phẩm kỹ thuật số như license key hoặc subscription thuộc ngoại lệ không được hoàn tiền. [1],"Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,Heuristic grounded token ratio: 1.00,5,Heuristic query-answer token overlap: 1.00,5,Retrieved: 1/1 expected sources,4,Heuristic expected-answer keyword overlap: 0.67,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. [1],Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Heuristic grounded token ratio: 1.00,5,Heuristic query-answer token overlap: 0.80,5,Retrieved: 1/1 expected sources,5,Heuristic expected-answer keyword overlap: 1.00,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Trong sự cố P1, escalation diễn ra như sau:

- Nếu không có phản hồi trong 10 phút, ticket tự động escalate lên Senior Engineer [3].
- Nếu engineer cần hỗ trợ thêm trong quá trình xử lý, phải escalate ngay [2].
- Nếu cần thay đổi quyền hệ thống khẩn cấp, On-call IT Admin có thể cấp quyền tạm thời tối đa 24 giờ sau khi được Tech Lead phê duyệt bằng lời [1].
- Sau 24 giờ, phải có ticket chính thức hoặc quyền tạm thời bị thu hồi tự động; mọi quyền tạm thời phải được ghi log Security Audit [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Heuristic grounded token ratio: 0.97,5,Heuristic query-answer token overlap: 0.67,5,Retrieved: 1/1 expected sources,5,Heuristic expected-answer keyword overlap: 0.93,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu `it/access-control-sop.md`, đặc biệt Section 2 “Phân cấp quyền truy cập”, mô tả các level quyền, người phê duyệt và thời gian xử lý. [3]",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,3,Heuristic grounded token ratio: 0.53,5,Heuristic query-answer token overlap: 0.88,5,Retrieved: 1/1 expected sources,3,Heuristic expected-answer keyword overlap: 0.36,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau thời gian thử việc được làm remote tối đa 2 ngày mỗi tuần. [1],"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Heuristic grounded token ratio: 1.00,5,Heuristic query-answer token overlap: 0.90,5,Retrieved: 1/1 expected sources,3,Heuristic expected-answer keyword overlap: 0.47,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"Tôi không biết. Ngữ cảnh không nêu mã lỗi `ERR-403-AUTH` là gì hoặc cách xử lý cụ thể.

Thông tin liên quan duy nhất: nếu vấn đề do thiếu quyền truy cập, nhân viên cần tạo Access Request ticket trên Jira project `IT-ACCESS`, sau đó Line Manager phê duyệt và IT Admin cấp quyền [1].","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",4,Heuristic grounded token ratio: 0.73,5,Heuristic query-answer token overlap: 1.00,,No expected sources,1,Expected answer is abstain; scored abstain behavior,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Tôi không biết. Ngữ cảnh chỉ nêu quy trình hoàn tiền chung và thời gian xử lý, không đề cập quy trình khẩn cấp hoặc khách hàng VIP có khác biệt hay không [2].","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",3,Heuristic grounded token ratio: 0.53,5,Heuristic query-answer token overlap: 0.79,5,Retrieved: 1/1 expected sources,2,Heuristic expected-answer keyword overlap: 0.31,baseline_dense
